lesson,lesson-name,week,week-begin,week-end,assignment-name,due-date,due-time,available-date,available-time,assigned-date,assigned-time,points,assignment-doc-url,dropbox-url,description,rubric-url
0,Introduction,1,2018-05-14,2018-05-20,Read Introduction to Course,2018-05-20,11:59 PM,2018-05-14,1:00 AM,2018-05-14,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
0,Introduction,1,2018-05-14,2018-05-20,Introductions Assignment,2018-05-20,11:59 PM,2018-05-14,1:00 AM,2018-05-14,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
1,What is Design?,1,2018-05-14,2018-05-20,Chapter 1&2 Reading Reflection,2018-05-20,11:59 PM,2018-05-14,1:00 AM,2018-05-14,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
1,What is Design?,1,2018-05-14,2018-05-20,End of Lesson Discussion,2018-05-20,11:59 PM,2018-05-14,1:00 AM,2018-05-14,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,2,2018-05-21,2018-05-27,Daily Design Journal: Assigned,2018-05-20,11:59 PM,2018-05-14,1:00 AM,2018-05-14,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,2,2018-05-21,2018-05-27,Chapter 3 Reading Reflection,2018-05-27,11:59 PM,2018-05-20,1:00 AM,2018-05-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,2,2018-05-21,2018-05-27,Discover: Interview,2018-05-27,11:59 PM,2018-05-20,1:00 AM,2018-05-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,2,2018-05-21,2018-05-27,Define: Themes and Insights,2018-05-27,11:59 PM,2018-05-20,1:00 AM,2018-05-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,3,2018-05-28,2018-06-03,Chapter 4 Reading Reflection,2018-06-03,11:59 PM,2018-05-20,1:00 AM,2018-05-27,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,3,2018-05-28,2018-06-03,Define: How Might We,2018-06-03,11:59 PM,2018-05-20,1:00 AM,2018-05-27,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,3,2018-05-28,2018-06-03,Develop: Brainstorm,2018-06-03,11:59 PM,2018-05-20,1:00 AM,2018-05-27,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,4,2018-06-04,2018-06-10,Chapter 5 Reading Reflection,2018-06-06,11:59 PM,2018-05-20,1:00 AM,2018-06-03,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,4,2018-06-04,2018-06-10,Develop: Storyboad,2018-06-06,11:59 PM,2018-05-20,1:00 AM,2018-06-03,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,4,2018-06-04,2018-06-10,Develop: MVP Prototype,2018-06-10,11:59 PM,2018-05-20,1:00 AM,2018-06-03,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,5,2018-06-11,2018-06-17,Develop: Test and Review,2018-06-13,11:59 PM,2018-05-20,1:00 AM,2018-06-10,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,5,2018-06-11,2018-06-17,Develop: Iterate Prototype,2018-06-17,11:59 PM,2018-05-20,1:00 AM,2018-06-13,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,5,2018-06-11,2018-06-17,Chapter 6 Reading Reflection,2018-06-17,11:59 PM,2018-05-20,1:00 AM,2018-06-15,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,5,2018-06-11,2018-06-17,Daily Design Journal: Report In,2018-06-17,11:59 PM,2018-05-20,1:00 AM,2018-06-15,1:00 AM,10,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,6,2018-06-18,2018-06-24,Deliver: Final Prototype,2018-06-20,11:59 PM,2018-05-20,1:00 AM,2018-06-15,1:00 AM,25,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
2,Visual and Interaction Design,6,2018-06-18,2018-06-24,Chapter 7 Reading Reflection,2018-06-20,11:59 PM,2018-05-20,1:00 AM,2018-06-17,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,6,2018-06-18,2018-06-24,Chapter 8 Reading Reflection,2018-06-24,11:59 PM,2018-06-17,1:00 AM,2018-06-17,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,6,2018-06-18,2018-06-24,Discover: Word-pairs,2018-06-24,11:59 PM,2018-06-17,1:00 AM,2018-06-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,6,2018-06-18,2018-06-24,Define: Synopsis,2018-06-24,11:59 PM,2018-06-17,1:00 AM,2018-06-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,6,2018-06-18,2018-06-24,Develop: Story and Plot,2018-06-24,11:59 PM,2018-06-17,1:00 AM,2018-06-20,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,7,2018-06-25,2018-07-01,Develop: Characters,2018-06-27,11:59 PM,2018-06-17,1:00 AM,2018-06-24,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,7,2018-06-25,2018-07-01,Chapter 9 Reading Reflection,2018-06-27,11:59 PM,2018-06-17,1:00 AM,2018-06-24,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,7,2018-06-25,2018-07-01,Develop: Hypertext Narrative Draft 1,2018-06-27,11:59 PM,2018-06-17,1:00 AM,2018-06-24,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,7,2018-06-25,2018-07-01,Develop: Feedback,2018-07-01,11:59 PM,2018-06-17,1:00 AM,2018-06-27,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,8,2018-07-02,2018-07-08,Deliver: Hypertext Narrative Draft 2,2018-07-08,11:59 PM,2018-06-17,1:00 AM,2018-07-01,1:00 AM,25,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
3,Storytelling,8,2018-07-02,2018-07-08,End of Lesson Discussion,2018-07-08,11:59 PM,2018-06-17,1:00 AM,2018-07-01,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,9,2018-07-09,2018-07-15,Chapter 10 Reading Reflection,2018-07-15,11:59 PM,2018-07-08,1:00 AM,2018-07-08,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,9,2018-07-09,2018-07-15,Chapter 11 Reading Reflection,2018-07-15,11:59 PM,2018-07-08,1:00 AM,2018-07-08,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,9,2018-07-09,2018-07-15,Discover: Toy Design Research,2018-07-15,11:59 PM,2018-07-08,1:00 AM,2018-07-08,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,9,2018-07-09,2018-07-15,Discover: Resources,2018-07-15,11:59 PM,2018-07-08,1:00 AM,2018-07-08,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,9,2018-07-09,2018-07-15,Discover: Modular Design Research,2018-07-15,11:59 PM,2018-07-08,1:00 AM,2018-07-08,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,10,2018-07-16,2018-07-22,Chapter 12 Reading Reflection,2018-07-22,11:59 PM,2018-07-08,1:00 AM,2018-07-15,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,10,2018-07-16,2018-07-22,Define: Product Pitch,2018-07-22,11:59 PM,2018-07-08,1:00 AM,2018-07-15,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,10,2018-07-16,2018-07-22,Develop: Instructions,2018-07-22,11:59 PM,2018-07-08,1:00 AM,2018-07-15,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,10,2018-07-16,2018-07-22,Develop: Prototyping,2018-07-22,11:59 PM,2018-07-08,1:00 AM,2018-07-15,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,11,2018-07-23,2018-07-29,Chapter 13 Reading Reflection,2018-07-29,11:59 PM,2018-07-08,1:00 AM,2018-07-22,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,11,2018-07-23,2018-07-29,Develop: Test,2018-07-29,11:59 PM,2018-07-08,1:00 AM,2018-07-22,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,12,2018-07-30,2018-08-05,Develop: Iterate,2018-08-01,11:59 PM,2018-07-08,1:00 AM,2018-07-29,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,12,2018-07-30,2018-08-05,Chapter 14 Reading Reflection,2018-08-01,11:59 PM,2018-07-08,1:00 AM,2018-07-29,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,12,2018-07-30,2018-08-05,Deliver: Open Design,2018-08-05,11:59 PM,2018-07-08,1:00 AM,2018-08-01,1:00 AM,25,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
4,Open Design,12,2018-07-30,2018-08-05,End of Lesson Discussion,2018-08-05,11:59 PM,2018-07-08,1:00 AM,2018-08-01,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
5,Wrap up,13,2018-08-06,2018-08-10,Chapter 15 Reading Reflection,2018-08-10,11:59 PM,2018-08-05,1:00 AM,2018-08-05,1:00 AM,5,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
5,Wrap up,13,2018-08-06,2018-08-08,Pathway Design Activity,2018-08-10,11:59 PM,2018-08-05,1:00 AM,2018-08-05,1:00 AM,25,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com
5,Wrap up,13,2018-08-06,2018-08-08,End of Lesson Discussion,2018-08-10,11:59 PM,2018-08-05,1:00 AM,2018-08-05,1:00 AM,0,http://document-url.com,http://dropbox.com,description of the assignment,http://rubric-url.com